kper,kstp,time,k,i,j,AWq
4,47,101.0,0,25,29,-50.43284016447683
4,47,101.0,0,25,30,-33.60627601472834
4,47,101.0,0,25,34,-34.57068034950839
4,47,101.0,0,26,1,-12.52052376445431
4,47,101.0,0,26,2,-13.106098323669016
4,47,101.0,0,26,3,-13.860154693416007
4,47,101.0,0,26,4,-14.74657592938297
4,47,101.0,0,26,5,-15.77688879213406
4,47,101.0,0,26,6,-16.96042468684118
4,47,101.0,0,26,7,-18.30275888650408
4,47,101.0,0,26,8,-19.819823519721467
4,47,101.0,0,26,9,-21.509809367685193
4,47,101.0,0,26,10,-23.45591464069571
4,47,101.0,0,26,11,-25.77761061257047
4,47,101.0,0,26,12,-28.40600149166778
4,47,101.0,0,26,31,-73.65916603079643
4,47,101.0,0,26,32,-195.69209643385318
4,47,101.0,0,26,33,-28.378355974784995
4,47,101.0,0,27,0,-10.969264933968361
4,47,101.0,0,27,1,-11.547776045146179
4,47,101.0,0,27,2,-12.075521533063807
4,47,101.0,0,27,3,-12.67987365083411
4,47,101.0,0,27,4,-13.388619878752365
4,47,101.0,0,27,5,-14.216500173086274
4,47,101.0,0,27,6,-15.175827377903602
4,47,101.0,0,27,7,-16.280257623596526
4,47,101.0,0,27,8,-17.55062885971074
4,47,101.0,0,27,9,-19.016959133322985
4,47,101.0,0,27,10,-20.744632535389428
4,47,101.0,0,27,11,-22.826818854909106
4,47,101.0,0,27,12,-25.375150447883016
4,47,101.0,0,27,32,-115.3919884440013
4,47,101.0,0,28,0,-10.617226705287635
4,47,101.0,0,28,1,-10.891710919121806
4,47,101.0,0,28,2,-11.270166089874692
4,47,101.0,0,28,3,-11.738641845017696
4,47,101.0,0,28,4,-12.302713286858761
4,47,101.0,0,28,5,-12.971615040517463
4,47,101.0,0,28,6,-13.757646537018559
4,47,101.0,0,28,7,-14.677694357584642
4,47,101.0,0,28,8,-15.756786544733927
4,47,101.0,0,28,9,-17.032509750947042
4,47,101.0,0,28,10,-18.56406495402132
4,47,101.0,0,28,11,-20.433388563468043
4,47,101.0,0,28,12,-22.74435703426002
4,47,101.0,0,28,13,-25.623538865259434
4,47,101.0,0,28,32,-130.9851872507245
4,47,101.0,0,28,33,-23.269545920353835
4,47,101.0,0,29,0,-10.193084428419752
4,47,101.0,0,29,1,-10.352811700105804
4,47,101.0,0,29,2,-10.621810528959713
4,47,101.0,0,29,3,-10.981344999739463
4,47,101.0,0,29,4,-11.429693120517072
4,47,101.0,0,29,5,-11.972612977205245
4,47,101.0,0,29,6,-12.621636774295553
4,47,101.0,0,29,7,-13.39451695895923
4,47,101.0,0,29,8,-14.317601777711388
4,47,101.0,0,29,9,-15.429373296850486
4,47,101.0,0,29,10,-16.785457977144688
4,47,101.0,0,29,11,-18.462404266075737
4,47,101.0,0,29,12,-20.561880271850782
4,47,101.0,0,29,13,-23.21670525547927
4,47,101.0,0,29,31,-128.60744378892753
4,47,101.0,0,30,0,-9.782482232714301
4,47,101.0,0,30,1,-9.888874841490747
4,47,101.0,0,30,2,-10.08565512354346
4,47,101.0,0,30,3,-10.363159821791555
4,47,101.0,0,30,4,-10.720523864147822
4,47,101.0,0,30,5,-11.162865010377118
4,47,101.0,0,30,6,-11.701226296222103
4,47,101.0,0,30,7,-12.353089179857875
4,47,101.0,0,30,8,-13.144210647829595
4,47,101.0,0,30,9,-14.111392997021312
4,47,101.0,0,30,10,-15.306409745517385
4,47,101.0,0,30,11,-16.80098544828752
4,47,101.0,0,30,12,-18.694684780475313
4,47,101.0,0,30,13,-21.129669217099718
4,47,101.0,0,30,31,-63.59871435783032
4,47,101.0,0,31,0,-9.410506868485186
4,47,101.0,0,31,1,-9.486923198133582
4,47,101.0,0,31,2,-9.634778659275185
4,47,101.0,0,31,3,-9.850795676603298
4,47,101.0,0,31,4,-10.13647448876236
4,47,101.0,0,31,5,-10.497421742485358
4,47,101.0,0,31,6,-10.944368922605804
4,47,101.0,0,31,7,-11.493905703815017
4,47,101.0,0,31,8,-12.170012532317628
4,47,101.0,0,31,9,-13.006209412922772
4,47,101.0,0,31,10,-14.048691674216911
4,47,101.0,0,31,11,-15.360927269499257
4,47,101.0,0,31,12,-17.031619397334225
4,47,101.0,0,31,13,-19.191651648559514
4,47,101.0,0,31,30,-37.80667812627473
4,47,101.0,0,32,0,-9.08150667804341
4,47,101.0,0,32,1,-9.138250806670953
4,47,101.0,0,32,2,-9.250791406546455
4,47,101.0,0,32,3,-9.419365431369329
4,47,101.0,0,32,4,-9.647365550020595
4,47,101.0,0,32,5,-9.940973242701261
4,47,101.0,0,32,6,-10.310544911304646
4,47,101.0,0,32,7,-10.771402137185532
4,47,101.0,0,32,8,-11.345067102899634
4,47,101.0,0,32,9,-12.060752398553518
4,47,101.0,0,32,10,-12.957376993826529
4,47,101.0,0,32,11,-14.086127606687342
4,47,101.0,0,32,12,-15.513230259248303
4,47,101.0,0,32,13,-17.31976232066495
4,47,101.0,0,32,14,-19.580531637392255
4,47,101.0,0,33,0,-8.792483793867405
4,47,101.0,0,33,1,-8.83450414644301
4,47,101.0,0,33,2,-8.91944937717301
4,47,101.0,0,33,3,-9.04954851418563
4,47,101.0,0,33,4,-9.22943686328972
4,47,101.0,0,33,5,-9.465631482746062
4,47,101.0,0,33,6,-9.7679695625244
4,47,101.0,0,33,7,-10.150342768055111
4,47,101.0,0,33,8,-10.631632385326611
4,47,101.0,0,33,9,-11.236561221514307
4,47,101.0,0,33,10,-11.99664855263461
4,47,101.0,0,33,11,-12.951204808000966
4,47,101.0,0,33,12,-14.148142905815348
4,47,101.0,0,33,13,-15.644574008830318
4,47,101.0,0,33,14,-17.509770211490036
4,47,101.0,0,34,0,-8.538281925573756
4,47,101.0,0,34,1,-8.56768749435696
4,47,101.0,0,34,2,-8.628916608552345
4,47,101.0,0,34,3,-8.725694159255681
4,47,101.0,0,34,4,-8.863487595173865
4,47,101.0,0,34,5,-9.048886008488239
4,47,101.0,0,34,6,-9.291086590602731
4,47,101.0,0,34,7,-9.60259735745376
4,47,101.0,0,34,8,-9.999943256319398
