kper,kstp,k,i,j,SPq
2,42,0,34,33,-12.819033951254255
2,42,0,35,33,-17.22959842812179
2,42,0,36,32,-20.457671993063627
2,42,0,36,33,-22.98435025044762
2,42,0,37,32,-28.752775309912522
2,43,0,32,30,-57.167051957949866
2,43,0,33,30,-52.30375602574941
2,43,0,33,31,-6.346391776081305
2,43,0,33,32,-16.316039971940654
2,43,0,33,33,-9.182998175202783
2,43,0,34,30,-14.61777056063272
2,43,0,34,31,-19.30129175132106
2,43,0,34,33,-12.648108460166895
2,43,0,35,33,-17.068765710407888
2,43,0,36,32,-20.286677833736576
2,43,0,36,33,-22.84725597796387
2,43,0,37,32,-28.62254769542858
2,44,0,32,30,-57.24105305178591
2,44,0,33,30,-52.35725736662539
2,44,0,33,31,-6.388095422911647
2,44,0,33,32,-16.37296267037368
2,44,0,33,33,-9.287047547511861
2,44,0,34,30,-14.672129152554817
2,44,0,34,31,-19.34661641419882
2,44,0,34,33,-12.746952486535633
2,44,0,35,33,-17.17712078697707
2,44,0,36,32,-20.38379106884838
2,44,0,36,33,-22.978476517563877
2,44,0,37,32,-28.758484654243375
2,45,0,32,30,-57.15269379518884
2,45,0,33,30,-52.2548001495627
2,45,0,33,31,-6.275228469567878
2,45,0,33,32,-16.273568192536914
2,45,0,33,33,-9.232198145714278
2,45,0,34,30,-14.568471100346756
2,45,0,34,31,-19.235194458932142
2,45,0,34,33,-12.68730108025818
2,45,0,35,33,-17.126187888752497
2,45,0,36,32,-20.32055671764192
2,45,0,36,33,-22.949397649364414
2,45,0,37,32,-28.731674557014912
2,46,0,32,30,-56.788309499164484
2,46,0,33,30,-51.88958992730579
2,46,0,33,31,-5.902738798079326
2,46,0,33,32,-15.911886184906848
2,46,0,33,33,-8.912211217248796
2,46,0,34,30,-14.199438410966536
2,46,0,34,31,-18.860214183220705
2,46,0,34,33,-12.36162480348196
2,46,0,35,33,-16.80790078455493
2,46,0,36,32,-19.988702469633267
2,46,0,36,33,-22.651675080359723
2,46,0,37,32,-28.431932671646223
2,47,0,32,30,-56.415343919261545
2,47,0,33,30,-51.51623858804089
2,47,0,33,31,-5.523349607591626
2,47,0,33,32,-15.540068367717708
2,47,0,33,33,-8.578538194122416
2,47,0,34,30,-13.817203757259222
2,47,0,34,31,-18.474386049140776
2,47,0,34,33,-12.022606340950688
2,47,0,35,33,-16.474902914934205
2,47,0,36,32,-19.640693979693083
2,47,0,36,33,-22.337642877900407
2,47,0,37,32,-28.110998594772354
2,48,0,32,30,-56.278788125680194
2,48,0,33,30,-51.37386466390694
2,48,0,33,31,-5.374089886102297
2,48,0,33,32,-15.396117318564393
2,48,0,33,33,-8.468968113896835
