kper,kstp,k,i,j,PWq
2,2,0,34,37,-14.038834661507279
2,2,0,35,37,-14.110680839323377
2,2,0,36,37,-14.203640399354622
2,2,0,37,37,-14.302363849487234
2,2,0,38,37,-14.402473386668818
2,2,0,39,38,-14.474323448482734
2,2,0,40,38,-14.504954449707087
2,2,0,41,38,-14.53687703227735
2,2,0,42,38,-14.560911744596837
2,2,0,43,38,-14.573916398134882
2,2,0,44,38,-14.57512286514153
2,2,0,45,37,-14.625592056863365
2,2,0,45,38,-14.5670296213529
2,3,0,22,40,-11.0024584819778
2,3,0,23,40,-11.037540695307614
2,3,0,24,39,-11.234286904925648
2,3,0,25,39,-11.323397164461639
2,3,0,26,38,-11.544968777285193
2,3,0,27,38,-11.628546004810424
2,3,0,28,38,-11.48358533900265
2,3,0,29,37,-12.183474842794919
2,3,0,30,37,-12.457016839022206
2,3,0,31,37,-12.592198524773039
2,3,0,32,36,-12.952286015846111
2,3,0,33,36,-13.164207389620868
2,3,0,34,37,-13.449505349271325
2,3,0,35,37,-13.542291841172505
2,3,0,36,37,-13.6625957437526
2,3,0,37,37,-13.790442618225583
2,3,0,38,37,-13.920081968155984
2,3,0,39,38,-14.04028176810274
2,3,0,40,38,-14.081847507859743
2,3,0,41,38,-14.126830315525812
2,3,0,42,38,-14.163142751734792
2,3,0,43,38,-14.186486261119203
2,3,0,44,38,-14.19541379669528
2,3,0,45,37,-14.248757770376601
2,3,0,45,38,-14.191716944964899
2,4,0,22,40,-10.069278829264288
2,4,0,23,40,-10.112882519371817
2,4,0,24,39,-10.326836524375217
2,4,0,25,39,-10.422307988513953
2,4,0,26,38,-10.666038053373637
2,4,0,27,38,-10.761764000915077
2,4,0,28,38,-10.657016027412517
2,4,0,29,37,-11.3918751411152
2,4,0,30,37,-11.696772318804586
2,4,0,31,37,-11.847102898094136
2,4,0,32,36,-12.248974857262438
2,4,0,33,36,-12.494267127872728
2,4,0,34,37,-12.836689629028697
2,4,0,35,37,-12.945161308495944
2,4,0,36,37,-13.086464635949831
2,4,0,37,37,-13.237317239656948
2,4,0,38,37,-13.391011521000822
2,4,0,39,38,-13.55301221216342
2,4,0,40,38,-13.60424990969808
2,4,0,41,38,-13.661085900682979
2,4,0,42,38,-13.708858345383385
2,4,0,43,38,-13.742124928688224
2,4,0,44,38,-13.758650917695055
2,4,0,45,37,-13.814382270119976
2,4,0,45,38,-13.759371199570003
2,5,0,22,40,-9.240907882311006
2,5,0,23,40,-9.291261757869037
2,5,0,24,39,-9.517055420829776
2,5,0,25,39,-9.616618961301295
2,5,0,26,38,-9.87472848738014
2,5,0,27,38,-9.978644694456182
2,5,0,28,38,-9.906011748266152
2,5,0,29,37,-10.657353491945198
2,5,0,30,37,-10.981633683449896
2,5,0,31,37,-11.141289928942111
2,5,0,32,36,-11.569606693767406
2,5,0,33,36,-11.837200460673497
2,5,0,34,37,-12.219338981951344
