kper,kstp,time,k,i,j,AWq
4,29,83.0,0,24,20,-2.8433290806171883
4,29,83.0,0,24,21,-3.5025531329167165
4,30,84.0,0,0,25,-3.0031155611612235
4,30,84.0,0,0,26,-3.736216815859507
4,30,84.0,0,1,24,-3.9387832857446483
4,30,84.0,0,2,22,-2.37488916670236
4,30,84.0,0,2,23,-3.673708200233534
4,30,84.0,0,3,21,-2.1423614935897604
4,30,84.0,0,4,21,-2.7569198378920987
4,30,84.0,0,5,20,-1.8562466980441457
4,30,84.0,0,6,20,-2.023700479114524
4,30,84.0,0,7,20,-2.3785904837864393
4,30,84.0,0,8,19,-1.6143197959372628
